"Item Code","Item Group","Default Unit of Measure","Has Variants","Maintain Stock","Is Fixed Asset","Asset Category","Brand","Description","End of Life","Shelf Life In Days","Variant Of","Variant Based On","Safety Stock","Lead Time in days","HSN/SAC","Attribute (Variant Attributes)","Attribute Value (Variant Attributes)"
"PRINTER SET","OFFICE SETUP","Nos",0,1,0,"","","","","","","",1,7,84714900,"",""
"LAPTOP","OFFICE SETUP","Nos",0,1,0,"","","","","","","",1,7,84714900,"",""
"WHITE BOARD","OFFICE SETUP","Nos",0,1,0,"","","","","","","",1,7,84714900,"",""
"BIO-METRIC ATTENDANCE MACHINE","OFFICE SETUP","Nos",0,1,0,"","","","","","","",1,7,84714900,"",""
"KEYBOARD USB","OFFICE SETUP","Nos",0,1,0,"","","","","","","",1,7,84714900,"",""
"HARD DISK","OFFICE SETUP","Nos",0,1,0,"","","","","","","",1,7,84714900,"",""
"CCTV CAMERA","OFFICE SETUP","Nos",0,1,0,"","","","","","","",1,7,84714900,"",""
"PTZ CAMERA","OFFICE SETUP","Nos",0,1,0,"","","","","","","",1,7,84714900,"",""
"MONITOR","OFFICE SETUP","Nos",0,1,0,"","","","","","","",1,7,84714900,"",""
"OFFICE BELL","OFFICE SETUP","Nos",0,1,0,"","","","","","","",1,7,84714900,"",""
"BATTERY UPS INVERTER","OFFICE SETUP","Nos",0,1,0,"","","","","","","",1,7,84714900,"",""
"UPVC END CAP 15MM DUTRON","PLUMBING","Nos",0,1,0,"","DUTRON","","","","UPVC END PLUG","Item Attribute",6,7,90318000,"Type","CAP"
"","","","","","","","","","","","","","","","","Size","15MM"
"","","","","","","","","","","","","","","","","Brand","DUTRON"
"UPVC END CAP 15MM SUPREME","PLUMBING","Nos",0,1,0,"","SUPREME","","","","UPVC END PLUG","Item Attribute",6,7,90318000,"Type","CAP"
"","","","","","","","","","","","","","","","","Size","15MM"
"","","","","","","","","","","","","","","","","Brand","SUPREME"
"UPVC END CAP 15MM ASTRAL","PLUMBING","Nos",0,1,0,"","ASTRAL","","","","UPVC END PLUG","Item Attribute",6,7,90318000,"Type","CAP"
"","","","","","","","","","","","","","","","","Size","15MM"
"","","","","","","","","","","","","","","","","Brand","ASTRAL"
"UPVC END CAP 15MM ASHIRVAD","PLUMBING","Nos",0,1,0,"","ASHIRVAD","","","","UPVC END PLUG","Item Attribute",6,7,90318000,"Type","CAP"
"","","","","","","","","","","","","","","","","Size","15MM"
"","","","","","","","","","","","","","","","","Brand","ASHIRVAD"
"UPVC END CAP 15MM RAKSHA","PLUMBING","Nos",0,1,0,"","RAKSHA","","","","UPVC END PLUG","Item Attribute",6,7,90318000,"Type","CAP"
"","","","","","","","","","","","","","","","","Size","15MM"
"","","","","","","","","","","","","","","","","Brand","RAKSHA"
"FLOOR TRAP","PLUMBING","Nos",0,1,0,"","","","","","FLOOR TRAP","Item Attribute",6,7,90318000,"Size/Type","FLOOR TRAP"
"EWC SLICK S WHITE","PLUMBING","Nos",0,1,0,"","","","","","","",6,7,90318000,"",""
"CHAIR BRACKET","PLUMBING","Nos",0,1,0,"","","","","","","",6,7,90318000,"",""
"WEST PIPE","PLUMBING","Nos",0,1,0,"","","","","","","",6,7,90318000,"",""
"PVC PILLER COCK","PLUMBING","Nos",0,1,0,"","","","","","","",6,7,90318000,"",""
"HOLDTITE","PLUMBING","Kg",0,1,0,"","","","2026-12-31 00:00:00",365,"","",6,7,90318000,"",""
"RCC ROUND COVER","PLUMBING","Nos",0,1,0,"","","","","","RCC ROUND COVER","Item Attribute","",7,90318000,"Size/Type","RCC ROUND COVER"
"GI PIPE 80MM","PLUMBING","Nos",0,1,0,"","","","","","GI PIPE","Item Attribute",6,7,90318000,"Size","80MM"
"GI REDUCER 32X20MM","PLUMBING","Nos",0,1,0,"","","","","","GI REDUCER","Item Attribute",6,7,90318000,"Size","32X20MM"
"GI ELBOW 80MM","PLUMBING","Nos",0,1,0,"","","","","","GI ELBOW","Item Attribute",6,7,90318000,"Size","80MM"
"GI TEE 80MM","PLUMBING","Nos",0,1,0,"","","","","","GI TEE","Item Attribute",6,7,90318000,"Size","80MM"
"S S DRINKING WATER SINK","PLUMBING","Nos",0,1,0,"","","","","","","",3,7,90318000,"",""
"COVER -TOILET SEAT SHEETS","PLUMBING","Nos",0,1,0,"","","","","","","",6,7,90318000,"",""
"RIVER SAND","RAW MATERIAL","Brass",0,1,0,"","","","","","","",12,7,25051000,"",""
"CRUSH SAND","RAW MATERIAL","Brass",0,1,0,"","","","","","","",10,7,25051000,"",""
"RUBBLE STONE","RAW MATERIAL","Brass",0,1,0,"","","","","","","",10,7,25232900,"",""
"DRY LEAN CONCRETE","RAW MATERIAL","Cubic Meter",0,1,0,"","","","","","","","",7,25232900,"",""
"MURUM","RAW MATERIAL","Brass",0,1,0,"","","","","","","","",7,25232900,"",""
"READY MIX PLASTER","RAW MATERIAL","Bags",0,1,0,"","","","2026-06-30 00:00:00",180,"","",100,7,25232900,"",""
"GSB","RAW MATERIAL","Brass",0,1,0,"","","","","","","","",7,25232900,"",""
"SOIL - RED/YELLOW/BLACK","RAW MATERIAL","Brass",0,1,0,"","","","","","","","",7,25232900,"",""
"SAFETY BARICATION TAPE","SAFETY","Nos",0,1,0,"","","","","","","",12,7,62114300,"",""
"FIRST AID","SAFETY","Nos",0,1,0,"","","","","","","",1,7,62114300,"",""
"GREEN NET","SAFETY","Square Meter",0,1,0,"","","","","","GREEN NET","Item Attribute",200,7,62114300,"Type","GREEN NET"
"NOSE MASK","SAFETY","Nos",0,1,0,"","","","","","","",50,7,62114300,"",""
"SAFETY BELT FULL BODY","SAFETY","Nos",0,1,0,"","","","","","","",25,7,62114300,"",""
"PVC GUMBOOT","SAFETY","Pair",0,1,0,"","","","","","","",12,7,62114300,"",""
"FALL ARRESTERS","SAFETY","Nos",0,1,0,"","","","","","","",6,7,62114300,"",""
"WELDING APRON","SAFETY","Nos",0,1,0,"","","","","","","",1,7,62114300,"",""
"WELDING GLASS","SAFETY","Nos",0,1,0,"","","","","","","",1,7,62114300,"",""
"AMBULANCE STRETCHER","SAFETY","Nos",0,1,0,"","","","","","","",1,7,62114300,"",""
